"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"G202","s.twin",0,0,"carolinensis","f",48.25,1,2,4.4,2.861,4.349,6.992,6.941,9.101,4.721,1.855,5.441,4.695,7.308,4.744,23.303,1.335,2.539,12.113,10.778,8.239,4.169,4.365,9.106,2.382,5.683,6.803,6.815,3.65,12.442,11.304,8.913,4.551
"G203","s.twin",0,0,"carolinensis","m",55.68,1,2.9,5.31,3.36,5.381,8.583,8.568,10.851,4.999,2.162,6.679,5.934,8.963,5.552,28.175,1.72,3.382,15.438,13.718,10.337,5.333,5.407,11.338,2.478,6.954,8.67,8.477,4.575,15.825,14.358,11.209,5.803
"G204","s.twin",0,0,"carolinensis","f",49.46,1,2.5,4.62,2.54,4.584,7.18,7.225,9.095,4.878,1.823,5.422,4.744,7.414,5.153,23.399,1.373,2.216,11.971,10.599,8.382,4.08,4.579,9.049,2.578,6.09,7.078,6.95,3.961,12.352,11.154,9.099,4.535
"G207","hornet",0,0,"carolinensis","m",50.44,1,2.3,5.29,3.271,5.275,8.322,8.35,10.431,4.239,2.072,6.292,5.363,8.206,5.584,27.299,1.487,2.746,13.2,11.713,8.967,4.494,4.75,9.655,2.449,6.297,7.437,7.801,4.237,13.57,12.345,9.708,4.969
"G208","hornet",0,0,"carolinensis","m",55.88,1,2.7,5.68,3.019,5.179,8.249,7.998,10.155,4.529,2.096,6.253,5.405,8.556,5.29,26.602,1.887,3.208,15.095,13.208,10,5.141,5.231,10.945,2.358,6.795,8.209,8.302,4.34,15.472,13.845,10.81,5.58
"G210","hornet",0,0,"carolinensis","m",58.12,1,3.6,5.83,3.424,5.63,8.677,8.767,11.097,4.902,2.14,6.569,5.73,9.217,6.176,28.828,1.752,3.352,15.759,14.007,10.654,5.488,5.55,11.448,2.104,7.596,8.971,8.971,4.916,16.21,14.708,11.56,6.014
"G211","hornet",0,0,"carolinensis","m",56.83,1,3.2,5.71,3.586,5.781,8.803,8.679,11.083,4.802,2.297,6.576,5.682,8.987,5.465,29.253,1.627,3.235,15.04,13.413,10.178,5.416,5.165,11.338,2.562,7.724,8.591,8.471,4.59,15.528,14.066,11.047,5.882
"G213","hornet",0,0,"carolinensis","m",50.98,1,2.2,4.95,3.368,5.387,8.536,8.322,10.401,4.542,2.041,6.257,5.396,8.648,4.614,27.692,1.572,2.714,13.426,11.855,9.14,4.619,4.803,9.615,2.19,6.476,7.33,7.526,4.095,13.811,12.437,9.848,5.053
"G214","hornet",0,0,"carolinensis","m",55.02,1,2.5,5.71,3.315,5.242,8.24,8.203,10.58,4.805,1.996,6.44,5.407,8.58,5.795,27.377,1.488,3.129,14.674,13.186,10.057,5.206,5.194,10.946,2.079,7.115,8.085,8.035,4.388,15.099,13.785,10.839,5.65
"G215","hornet",0,0,"carolinensis","m",59.07,1,3.4,5.96,3.617,5.961,9.031,9.212,11.572,4.859,2.245,7.044,6.106,9.393,5.548,30.181,1.823,3.587,16.379,14.555,10.969,5.645,5.679,11.615,2.472,7.814,9.034,8.915,5.078,16.838,15.223,11.862,6.189
"G216","hornet",0,0,"carolinensis","m",58.1,1,3.4,5.8,3.484,5.356,8.822,8.676,11.234,5.314,2.209,6.591,5.714,9.049,5.834,28.896,1.764,3.239,15.052,13.289,10.05,5.047,5.389,10.573,2.285,7.43,8.765,8.384,4.761,15.504,13.934,10.964,5.581
"G217","hornet",0,0,"carolinensis","unk",46.53,1,1.6,4.58,2.872,4.583,7.198,7.138,9.124,4.076,1.65,5.263,4.579,7.361,4.628,23.777,1.27,2.159,11.559,10.289,8.13,4.1,4.255,8.619,2.171,6.03,6.54,6.582,3.811,11.946,10.803,8.763,4.521
"G218","hornet",0,0,"carolinensis","m",58.74,1,3.6,5.86,3.67,5.668,9.443,9.351,11.462,4.938,2.366,7.069,6.13,9.309,6.266,30.243,1.365,3.751,15.943,14.578,10.827,5.544,5.754,11.636,2.514,7.233,9.319,8.806,4.759,16.348,15.228,11.787,6.034
"G220","hook",1,2,"carolinensis","f",48.12,1,2.1,4.65,2.513,4.377,6.93,6.866,8.989,5.061,1.706,5.152,4.322,6.884,4.606,22.809,1.263,2.603,11.929,10.666,8.064,3.93,4.36,8.975,2.62,6.331,6.907,7.288,4.134,12.342,11.272,8.772,4.441
"G221","hook",1,2,"carolinensis","m",51.88,1,2.4,5.09,2.989,4.956,8.01,7.76,9.988,4.252,1.837,6.172,5.431,8.112,5.259,25.943,1.322,3.084,13.909,12.586,9.502,4.774,5.032,10.41,2.398,6.639,7.906,8.094,4.463,14.299,13.221,10.292,5.27
"G222","hook",1,2,"carolinensis","m",58.81,1,3.7,6.17,3.428,5.559,9.004,9.076,11.207,4.81,2.189,6.715,5.905,9.105,6.7,29.198,1.93,3.176,16.373,14.443,11.266,5.808,5.784,12.09,2.577,8.411,9.039,9.253,5.223,16.904,15.166,12.139,6.368
"G225","hook",1,2,"carolinensis","m",49.53,1,2.1,4.84,3.341,4.955,7.979,7.875,10.223,4.388,1.984,5.979,5.148,8.178,4.996,26.498,1.555,2.841,13.477,11.922,9.08,4.47,4.879,9.815,2.41,6.543,7.34,7.607,4.147,13.868,12.514,9.794,4.927
"G226","hook",1,2,"carolinensis","f",47.05,1,1.8,4.66,2.481,4.388,7.208,7.081,8.979,4.772,1.586,4.955,4.426,7.381,4.772,23.056,1.381,2.471,11.816,10.435,7.965,3.814,4.423,8.955,2.095,5.713,6.862,6.767,3.814,12.157,10.97,8.672,4.264
"G227","hook",1,2,"carolinensis","m",54.41,1,2.6,5.24,3.121,5.177,7.998,7.971,9.993,4.952,2.091,6.108,5.203,8.096,5.753,26.289,1.486,2.86,14.634,13.147,10.287,5.526,5.062,11.06,2.578,6.767,7.817,7.715,4.384,15.02,13.702,11.005,5.945
"G228","hook",1,2,"carolinensis","m",55.39,1,3,5.59,3.263,5.552,8.772,8.776,10.841,5.178,1.94,6.591,5.523,8.583,5.882,28.428,1.809,3.284,15.378,13.569,10.285,5.382,5.244,10.951,2.293,6.666,7.999,7.999,4.286,15.735,14.146,11.036,5.793
"G229","hook",1,2,"carolinensis","m",51.92,1,2.5,5.13,3.166,4.859,8.211,8.075,10.394,4.361,2.007,6.191,5.174,8.307,4.916,26.63,1.575,3.094,14.763,13.189,10.094,5.284,5.14,10.099,2.383,6.574,8.009,7.634,4.39,15.125,13.73,10.859,5.722
"G230","hook",1,2,"carolinensis","m",51.44,1,2.1,5.28,3.12,4.907,7.866,7.918,10.234,4.848,1.951,5.95,5.046,7.984,5.447,26.127,1.715,3.076,14.751,13.036,9.96,5.011,5.278,10.265,2.114,6.056,7.715,7.694,4.076,15.058,13.592,10.681,5.41
"G231","hook",1,2,"carolinensis","f",47.59,1,2,4.76,2.882,4.467,7.209,7.057,8.888,4.61,1.84,5.156,4.533,7.322,4.94,23.446,1.34,2.598,12.094,10.754,8.156,4.132,4.38,8.391,2.428,6.277,7.154,7.376,3.698,12.494,11.369,8.906,4.527
"G232","hook",1,2,"carolinensis","m",52.59,1,2.7,5.18,3.196,5.441,8.117,8.239,10.551,4.432,1.965,6.584,5.237,8.312,5.688,27.305,1.543,2.985,14.82,13.277,10.292,5.337,5.247,10.678,2.5,7.124,7.982,7.982,4.528,15.242,13.864,11.039,5.797
"G233","hook",1,2,"carolinensis","m",52.96,1,2.6,5.06,3.205,5.244,8.618,8.539,10.355,4.417,1.986,6.324,5.604,8.43,5.194,27.422,1.286,3.095,13.913,12.627,9.532,4.813,5.072,10.578,2.477,6.381,8.006,7.812,4.285,14.274,13.217,10.338,5.268
"G234","hook",1,2,"carolinensis","m",56.37,1,3.4,5.73,3.125,5.385,8.93,8.848,11.043,5.198,2.098,6.724,6.044,9.131,6.369,28.483,1.824,3.306,15.652,13.828,10.522,5.784,5.104,11.967,2.681,7.837,8.888,8.917,5.091,16.135,14.529,11.422,6.319
"G235","hook",1,2,"carolinensis","m",54.26,1,2.9,5.34,3.764,5.434,8.405,8.513,10.989,4.744,2.12,6.23,5.512,8.538,5.547,28.592,1.643,3.118,15.001,13.359,10.241,5.292,5.308,11.339,2.673,7.515,8.445,8.08,4.606,15.465,13.956,11.077,5.772
"G236","lizard",1,1,"carolinensis","m",58.04,1,3.4,5.51,3.788,5.582,8.81,8.912,10.87,5.075,2.016,6.455,5.845,8.929,5.734,29.05,1.711,3.458,15.942,14.231,10.773,5.824,5.298,11.893,2.109,6.512,8.563,8.378,4.781,16.271,14.835,11.592,6.296
"G237","lizard",1,1,"carolinensis","f",43.99,1,1.7,4.39,2.677,4.583,7.227,6.952,8.578,4.096,1.689,5.39,4.451,7.45,4.744,23.065,1.308,2.323,11.406,10.097,7.774,3.766,4.337,8.044,2.53,5.637,6.926,6.749,3.613,11.749,10.646,8.511,4.177
"G238","lizard",1,1,"carolinensis","m",60.14,1,3.6,5.92,3.467,5.386,8.765,8.62,10.887,4.785,2.275,6.585,5.64,8.88,6.288,28.505,1.862,3.59,17.255,15.393,11.802,6.599,5.614,12.535,2.483,7.666,9.086,8.888,4.871,17.675,16.021,12.646,7.034
"G239","lizard",1,1,"carolinensis","f",46.99,1,1.8,4.77,2.835,4.485,7.176,7.162,9.048,4.512,1.847,5.17,4.595,7.523,4.675,23.544,1.259,2.102,11.733,10.474,8.372,4.25,4.372,8.845,2.615,5.128,6.999,6.559,4.09,12.01,10.975,9.074,4.716
"G241","lizard",1,1,"carolinensis","f",46.96,1,1.9,4.43,2.711,4.296,6.925,6.989,8.804,4.082,1.582,5.195,4.415,7.07,4.603,22.736,0.999,2.303,11.33,10.331,8.028,3.801,4.482,8.529,2.497,5.536,6.808,6.752,3.83,11.663,10.869,8.72,4.256
"G243","lizard",1,1,"carolinensis","m",57.75,1,3.2,5.86,3.543,5.709,9.097,9.014,11.3,4.85,2.199,6.839,5.816,9.275,5.837,29.649,1.808,3.389,16.421,14.613,11.224,6.069,5.497,11.941,2.097,7.532,8.678,8.779,4.865,16.847,15.258,12.034,6.538
"G244","lizard",1,1,"carolinensis","m",59.08,1,3.4,5.37,3.609,5.715,9.202,9.071,11.364,5.086,2.248,6.822,5.985,9.132,5.874,29.89,1.833,3.298,16.699,14.867,11.569,6.077,5.804,12.337,2.317,7.362,8.812,8.613,5.055,17.1,15.478,12.38,6.582
"G245","lizard",1,1,"carolinensis","m",57.63,1,3.1,5.72,3.171,5.379,9.096,9.005,11.238,4.78,1.983,6.808,5.735,9.004,5.967,28.884,1.579,3.528,16.547,14.968,11.44,6.244,5.508,12.394,2.388,7.336,8.697,8.492,5.046,16.949,15.559,12.238,6.734
"G247","lizard",1,1,"carolinensis","f",50.17,1,2.1,4.69,3.038,4.836,7.852,7.81,9.695,4.961,1.952,5.923,5.248,7.763,4.671,25.421,1.508,2.265,12.833,11.325,9.06,4.52,4.797,9.86,2.229,5.901,7.165,7.177,4.092,13.168,11.88,9.743,4.961
"G248","lizard",1,1,"carolinensis","m",58.46,1,3.4,5.58,3.205,5.368,8.518,8.555,10.756,4.983,2.073,6.943,5.845,8.656,5.309,27.847,1.628,3.601,15.89,14.261,10.66,5.755,5.303,11.341,2.472,7.275,8.545,8.545,4.527,16.301,14.888,11.485,6.184
"G250","lizard",1,1,"carolinensis","f",49.65,1,2.1,4.86,2.056,4.581,7.476,7.358,8.963,4.306,1.905,5.595,4.681,7.757,4.517,23.076,1.393,2.765,12.934,11.541,8.776,4.44,4.566,9.634,2.381,6.018,6.975,7.069,4.122,13.279,12.07,9.443,4.895
"G252","lizard",1,1,"carolinensis","m",55.45,1,2.1,5.53,3.129,4.943,8.926,8.745,11.014,4.949,2.227,6.645,5.878,8.97,5.835,28.012,1.711,3.016,15.29,13.578,10.562,5.332,5.541,11.133,2.521,7.045,8.204,8.143,4.54,15.69,14.176,11.331,5.795
"G253","lizard",1,1,"carolinensis","m",56.76,1,2.8,5.31,3.416,5.568,8.917,8.67,11.221,5.026,2.184,6.97,5.976,9.056,5.802,29.122,1.626,3.334,15.354,13.728,10.394,5.239,5.534,11.633,2.476,7.153,8.484,8.484,4.476,15.765,14.368,11.226,5.697
"G254","lizard",1,1,"carolinensis","m",60.27,1,4.2,6.18,3.287,5.664,8.926,8.837,11.25,5.481,2.316,6.839,5.753,9.235,6.427,29.127,1.804,3.687,17.016,15.212,11.525,5.926,6.003,12.789,2.451,8.106,9.534,9.588,5.2,17.492,15.95,12.472,6.472
"G256","line.cedars",1,1,"carolinensis","m",52.13,0,2.7,5.56,3.515,5.272,8.512,8.635,10.437,4.343,2.187,6.597,5.404,8.232,5.833,27.736,1.762,2.965,15.446,13.684,10.719,5.305,5.816,10.858,2.464,7.418,8.912,8.394,4.659,15.885,14.313,11.608,5.794
"G257","line.cedars",1,1,"carolinensis","m",57.88,1,3.3,5.62,3.305,5.641,9.042,8.848,11.298,4.938,2.264,7.016,5.787,9.071,5.447,29.286,1.839,3.523,16.406,14.566,11.044,5.893,5.535,11.931,2.388,6.95,8.815,8.611,4.762,16.77,15.189,11.891,6.356
"G258","line.cedars",1,1,"carolinensis","m",58.35,1,3.2,5.6,3.476,5.6,8.786,8.536,10.806,5.145,2.236,6.558,5.656,9.09,5.784,28.668,2.027,3.109,16.22,14.193,11.085,5.536,5.827,12.307,2.62,7.003,8.534,8.441,4.989,16.594,14.808,11.878,6.072
"G261","line.cedars",1,1,"carolinensis","m",56.63,1,3.2,5.61,3.901,5.697,8.832,8.626,11.246,4.951,2.14,6.727,5.83,9.03,5.093,29.676,1.857,3.197,15.628,13.771,10.575,5.475,5.448,11.243,2.483,7.722,8.673,8.765,4.857,16.098,14.452,11.429,5.99
"G262","line.cedars",1,1,"carolinensis","m",56.77,1,3.5,5.6,3.675,5.818,9.08,9.148,11.075,4.856,2.261,6.856,5.644,8.8,6.733,29.648,1.745,3.429,16.074,14.329,10.901,5.518,5.777,11.663,2.352,8.268,9.053,9.244,4.855,16.597,15.056,11.803,6.029
"G263","line.cedars",1,1,"carolinensis","f",47.07,1,2.3,4.83,2.956,4.65,7.032,6.804,8.929,4.609,1.784,5.168,4.354,7.028,5.105,23.567,1.293,2.521,11.522,10.229,7.708,3.628,4.294,8.682,2.459,6.269,6.481,6.562,3.814,11.941,10.743,8.362,4.099
"G264","line.cedars",1,1,"carolinensis","f",47.24,1,2.1,4.38,2.777,4.327,6.758,6.642,8.667,4.343,1.73,5.102,4.384,7.093,4.984,22.529,1.227,2.409,11.623,10.396,7.987,3.73,4.502,8.414,2.281,5.578,6.525,6.802,3.595,11.953,10.939,8.628,4.141
"G265","line.cedars",1,1,"carolinensis","f",48.44,1,2.5,4.7,2.707,4.496,6.739,6.757,8.917,4.715,1.805,5.147,4.385,6.886,4.963,22.859,1.484,2.43,12.236,10.753,8.323,4.09,4.579,8.601,2.494,6.578,7.527,7.266,4.042,12.671,11.35,9.134,4.562
"G266","line.cedars",1,1,"carolinensis","f",46.08,1,2,4.43,2.694,4.28,6.932,6.869,8.919,4.343,1.75,5.173,4.428,7.552,5.259,22.825,1.238,2.189,11.907,10.67,8.481,4.096,4.613,8.764,2.199,6.095,6.669,7.047,3.809,12.291,11.236,9.113,4.517
"G267","line.cedars",1,1,"carolinensis","f",51.18,1,2.4,4.73,2.991,4.804,7.529,7.631,9.697,4.792,1.757,5.594,4.408,7.824,5.464,25.021,1.445,2.469,12.452,11.007,8.538,4.084,4.724,9.195,2.289,6.297,7.257,7.379,4.125,12.844,11.609,9.277,4.575
"G269","line.cedars",1,1,"carolinensis","f",47.41,1,2,4.54,3.058,4.713,7.466,7.304,9.168,4.343,1.748,5.395,4.758,7.298,4.782,24.405,1.369,2.452,12.358,10.988,8.536,4.243,4.534,8.961,2.358,6.143,6.886,6.986,3.966,12.734,11.53,9.205,4.684
"G270","line.cedars",1,1,"carolinensis","m",53.56,1,2.8,5.39,3.563,5.264,8.912,8.861,10.71,4.491,2.063,6.341,5.652,8.393,5.601,28.449,1.73,2.997,15.078,13.348,10.351,5.44,5.261,10.646,2.403,7.185,8.317,8.106,4.542,15.5,13.95,11.155,5.895
"G271","line.cedars",1,1,"carolinensis","m",56,1,2.8,5.55,3.659,5.489,9.111,8.929,10.837,5.039,2.3,6.704,5.804,8.751,6.19,29.096,1.781,3.465,16.307,14.527,11.061,5.774,5.677,11.732,2.325,7.791,8.748,8.947,4.629,16.766,15.2,11.895,6.22
"G272","line.cedars",1,1,"carolinensis","f",46.64,1,2,4.6,2.655,4.614,7.21,7.262,8.987,4.41,1.736,5.389,4.626,7.033,4.605,23.466,1.382,2.591,12.046,10.663,8.072,4.064,4.33,8.327,2.408,6.263,7.166,7.109,3.914,12.446,11.24,8.832,4.511
"G273","yin",1,1,"carolinensis","m",59.9,1,3.8,5.94,3.739,5.54,9.256,9.284,11.165,5.415,2.239,6.908,6.154,9.015,6.355,29.7,1.91,3.666,16.978,15.069,11.403,5.587,6.25,11.733,1.907,7.818,9.63,9.436,5.055,17.423,15.79,12.378,6.133
"G274","yin",1,1,"carolinensis","m",56.18,1,3.2,6.01,3.211,5.175,8.124,8.05,10.391,5.04,2.165,6.244,5.243,8.17,6.266,26.901,2.042,3.43,16.281,14.239,10.809,5.567,5.627,12.105,2.114,7.395,8.986,8.893,4.896,16.696,14.917,11.706,6.081
"G278","yin",1,1,"carolinensis","f",52.06,1,2.7,5.1,3.038,4.625,7.384,7.463,9.806,5.252,2.021,5.581,4.583,7.686,5.707,24.853,1.432,2.72,13.083,11.652,8.932,4.349,4.88,9.837,2.388,6.391,7.552,7.561,4.199,13.468,12.25,9.697,4.829
"G279","yin",1,1,"carolinensis","m",55.01,1,3.4,5.7,3.614,5.392,8.659,8.789,11.501,5.003,2.384,6.636,5.562,9.2,5.72,29.166,1.688,3.112,15.209,13.52,10.408,4.988,5.807,10.903,2.681,7.097,8.705,8.621,4.539,15.617,14.191,11.282,5.48
"G281","yin",1,1,"carolinensis","f",48.14,1,2.1,4.61,2.829,4.349,7.055,6.944,8.962,4.782,1.678,5.23,4.583,7.073,4.856,23.195,1.296,2.319,12.001,10.705,8.386,3.975,4.638,8.437,2.409,5.752,6.595,6.655,3.734,12.34,11.21,9.011,4.392
"G282","yin",1,1,"carolinensis","f",48.38,1,2.5,4.64,2.77,4.524,7.074,7.044,9.132,4.881,1.739,5.097,4.487,7.353,5.367,23.5,1.204,2.459,11.844,10.64,8.181,4.054,4.414,8.594,2.472,6.448,7.142,7.183,4.018,12.275,11.23,8.927,4.525
"G283","yin",1,1,"carolinensis","f",50.01,1,2.6,4.77,2.789,4.99,7.168,7.063,9.166,4.886,1.702,5.524,4.686,7.312,5.977,24.113,1.55,2.411,12.383,10.833,8.422,4.08,4.634,9.079,2.148,6.424,7.209,7.359,3.978,12.793,11.441,9.161,4.539
"G284","channel",1,2,"carolinensis","f",48.54,1,2,4.67,2.837,4.504,7.116,7.006,8.871,4.361,1.547,5.063,4.374,7.137,4.966,23.328,1.26,2.531,11.905,10.645,8.113,4.053,4.437,8.779,2.693,6.631,7.154,7.283,3.586,12.358,11.25,8.867,4.432
"G285","channel",1,2,"carolinensis","m",52.23,1,2.4,4.98,3.096,5.158,7.841,7.835,9.749,4.516,1.925,5.863,4.841,7.818,5.959,25.844,1.428,2.905,13.769,12.342,9.436,4.768,4.99,10.2,2.571,6.957,7.715,7.713,4.19,14.202,12.93,10.194,5.208
"G286","channel",1,2,"carolinensis","m",57.53,1,3.3,5.73,3.315,5.274,8.597,8.819,10.509,5.182,2.262,6.369,5.383,8.556,5.879,27.695,1.527,3.38,15.62,14.093,10.713,5.287,5.853,11.814,2.287,7.522,9.05,8.762,4.667,16.066,14.758,11.63,5.779
"G288","channel",1,2,"carolinensis","m",56.12,1,2.9,5.72,2.783,5.026,8.168,8.181,10.51,4.785,1.746,5.827,5.13,8.353,5.656,26.487,1.585,3.322,15.302,13.718,10.395,5.245,5.549,11.84,2.411,7.502,8.662,8.658,4.528,15.755,14.385,11.261,5.713
"G292","channel",1,2,"carolinensis","f",45.64,1,1.6,4.57,2.734,4.247,6.851,7,8.867,4.227,1.57,5.02,4.271,6.889,4.964,22.699,1.361,2.417,12.5,11.139,8.722,4.336,4.611,9.734,2.546,6.076,7.072,6.939,4.235,12.864,11.667,9.412,4.826
"G293","channel",1,2,"carolinensis","m",55.66,1,2.9,5.8,3.495,5.41,8.17,8.007,10.487,4.725,2.186,6.372,5.322,8.48,6.002,27.562,1.877,3.446,15.855,13.977,10.532,5.217,5.707,11.226,2.302,7.511,8.654,8.654,4.509,16.293,14.632,11.386,5.683
"G294","channel",1,2,"carolinensis","m",49.56,1,2,4.93,3.016,4.914,7.723,7.758,9.686,4.051,1.961,5.766,5.063,8.021,5.574,25.339,1.462,2.975,13.459,11.997,9.022,4.628,4.746,10.108,2.452,6.886,7.645,7.744,4.06,13.892,12.606,9.799,5.054
"G295","s.twin",0,0,"carolinensis","f",53.46,1,3,5.09,2.682,4.471,7.173,7.152,9.059,5.161,1.647,5.39,4.451,7.296,5.42,23.385,1.336,2.776,13.242,11.905,9.13,4.488,4.985,9.647,2.571,6.604,7.742,7.362,4.112,13.647,12.462,9.916,4.936
"G298","s.twin",0,0,"carolinensis","m",53.47,1,2.7,5.32,3.37,5.088,8.258,8.342,10.348,4.878,2.151,6.587,5.468,8.3,5.891,27.064,1.575,3.238,15.054,13.48,10.241,5.478,5.079,11.336,2.388,6.666,8,8.095,4.477,15.419,14.074,10.995,5.918
"G299","s.twin",0,0,"carolinensis","m",59.76,1,3.4,5.86,3.579,5.198,8.997,9.074,11.443,5.028,2.156,6.904,5.765,9.256,5.853,29.217,1.662,3.701,16.899,15.238,11.537,6.239,5.605,12.452,2.773,7.391,8.829,8.829,5.181,17.299,15.864,12.353,6.755
"G300","s.twin",0,0,"carolinensis","m",58.96,1,3.6,5.9,3.721,5.593,9.123,9.083,11.184,5.088,2.249,7.041,5.999,9.235,5.721,29.621,1.904,3.818,16.62,14.715,10.898,5.77,5.607,11.71,2.734,7.825,9.616,9.295,5.091,17.074,15.432,11.911,6.306
"G301_S259","s.twin",0,0,"carolinensis","m",57.78,0,3.7,5.92,3.32,5.381,8.794,8.597,11.03,5.318,1.98,6.764,5.827,9.041,6.15,28.525,1.74,3.609,16.675,14.935,11.325,5.967,5.787,11.76,2.117,7.412,8.966,8.757,4.619,17.082,15.563,12.18,6.399
"G302","channel",1,2,"carolinensis","f",44.13,1,1.3,4.16,2.602,4.082,6.802,6.694,8.433,4.148,1.589,4.741,4.112,6.756,4.516,21.919,1.23,2.198,11.364,10.134,7.936,3.685,4.471,9.078,2.388,5.536,6.405,6.405,3.63,11.696,10.628,8.557,4.108
"G303","channel",1,2,"carolinensis","f",45.63,1,1.5,4.48,2.613,3.958,6.383,6.434,8.276,4.135,1.746,4.768,3.993,6.506,4.556,21.23,1.166,2.118,11.885,10.72,8.602,4.19,4.687,8.861,2.188,5.791,7.029,6.568,3.867,12.233,11.211,9.292,4.614
"G304","channel",1,2,"carolinensis","m",51.72,1,2.3,5.15,3.222,4.503,7.728,7.65,9.318,4.04,1.49,5.51,4.751,7.528,5.322,24.771,1.372,2.997,13.918,12.547,9.55,4.965,4.896,10.287,2.303,6.443,7.749,7.693,4.342,14.286,13.123,10.306,5.419
"G307","n.twin",1,2,"carolinensis","m",58.65,1,3.9,5.82,3.592,5.408,9.103,9.19,11.472,4.805,2.391,7.053,6.012,9.119,5.958,29.575,1.663,3.716,16.328,14.666,10.95,5.903,5.469,11.711,2.293,7.331,9.052,8.76,4.855,16.735,15.306,11.849,6.382
"G308","n.twin",1,2,"carolinensis","m",58.37,1,3.7,5.86,3.589,5.567,8.787,8.737,11.512,4.708,2.332,6.567,5.667,8.834,6.293,29.455,1.663,3.354,15.786,14.124,10.769,5.771,5.424,11.528,2.662,7.566,8.809,8.756,4.606,16.233,14.787,11.635,6.213
"G309","n.twin",1,2,"carolinensis","f",50.75,1,2.6,4.85,2.947,4.563,7.195,7.212,9.247,5.233,1.746,5.634,4.529,7.359,5.695,23.952,1.296,2.768,12.998,11.702,8.934,4.607,4.662,9.898,2.453,6.448,7.708,7.376,4.24,13.392,12.269,9.73,5.072
"G310","n.twin",1,2,"carolinensis","f",50.91,1,2.7,4.85,2.766,4.476,7.371,7.478,9.529,4.99,1.856,5.645,4.807,7.679,5.238,24.142,1.55,2.512,12.398,10.849,8.336,4.007,4.643,8.798,2.448,7.124,7.812,7.342,4.463,12.9,11.453,9.206,4.587
"G311","n.twin",1,2,"carolinensis","m",52.17,1,2,4.7,3.28,5.358,8.18,8.128,10.075,4.293,2.058,5.995,5.164,8.173,5.159,26.893,1.423,3.027,13.861,12.438,9.411,5.018,4.67,10.321,2.529,6.449,7.542,7.573,4.378,14.231,13.002,10.139,5.475
"G312","n.twin",1,2,"carolinensis","m",55.55,1,3.2,5.68,3.486,5.379,8.397,8.309,10.701,4.943,2.323,6.295,5.494,8.937,6.179,27.963,1.84,3.312,16.056,14.216,10.904,5.864,5.42,11.34,2.295,7.51,8.792,8.75,4.81,16.49,14.874,11.757,6.338
"G313","n.twin",1,2,"carolinensis","m",57.73,1,3,5.98,3.302,5.115,8.705,8.88,11.172,4.993,2.082,6.869,5.625,8.81,6.419,28.294,1.916,3.579,16.99,15.075,11.496,6.293,5.574,12.497,1.849,6.993,8.868,8.779,4.871,17.347,15.701,12.322,6.748
"G314","n.twin",1,2,"carolinensis","m",55.61,1,3.2,5.72,3.458,5.067,8.626,8.839,11.071,4.599,1.988,6.688,5.862,8.584,5.637,28.222,1.628,3.337,16.282,14.654,11.316,5.867,5.829,12.055,2.223,7.067,8.845,8.522,4.711,16.661,15.261,12.15,6.322
"G317","osprey",0,0,"carolinensis","m",55.8,1,2.8,5.42,3.293,5.311,8.642,8.59,10.907,4.887,2.235,6.693,5.793,9.039,5.88,28.153,1.837,3.644,16.886,15.049,11.405,6.425,5.391,12.463,2.303,7.584,8.908,8.795,4.777,17.306,15.678,12.244,6.855
"G318","osprey",0,0,"carolinensis","m",54.31,1,2.5,5.33,3.208,5.229,8.171,8.111,10.441,4.731,2.15,6.031,5.329,8.35,5.537,27.049,1.494,3.361,15.261,13.767,10.407,5.516,5.218,11.011,2.129,6.923,8.235,8.162,4.596,15.649,14.359,11.192,5.976
"G319","osprey",0,0,"carolinensis","f",44.99,1,1.7,4.06,2.59,4.511,6.734,6.712,8.519,4.586,1.595,5.102,4.517,6.975,5.091,22.354,1.025,2.033,11.572,10.547,8.514,4.209,4.539,8.729,2.211,5.139,6.563,6.296,3.685,11.854,11.007,9.125,4.595
"G321","osprey",0,0,"carolinensis","m",55.27,1,2.8,5.42,3.382,5.322,8.508,8.419,10.405,4.586,1.947,6.448,5.615,8.878,5.314,27.617,1.625,3.496,16.325,14.701,11.204,6.289,5.351,11.399,2.209,7.098,8.717,8.518,4.501,16.707,15.305,12.022,6.68
"G325","osprey",0,0,"carolinensis","m",54.81,1,2.7,5.36,3.15,4.985,8.045,7.9,10.139,4.537,1.882,6.17,5.234,8.192,5.465,26.319,1.516,3.206,15.202,13.686,10.48,5.57,5.212,10.952,2.264,5.954,7.932,7.849,4.437,15.491,14.238,11.206,5.996
"G327","yang",1,2,"carolinensis","m",56.09,1,2.8,5.6,3.13,5.234,8.522,8.316,11.019,4.996,2.025,6.291,5.271,8.702,5.62,27.905,1.736,3.099,15.431,13.694,10.595,5.452,5.45,11.071,2.427,7.076,8.458,8.271,4.854,15.831,14.305,11.408,5.968
